catpro3;catpro3txt
A1a;EXPLOITANT AGRICOLE
A1f;COOPERATIVE AGRICOLE
A1g;CHAMBRE D AGRICULTURE
A1h;STRUCTURE VITICOLE
A2a;GROUPEMENT FORESTIER
A2c;ONF - OFFICE NATIONAL DES FORETS
A2d;STRUCTURE FORESTIERE AUTRE
A3a;CONSERVATOIRE DES ESPACES NATURELS
A3b;PNR - PARC NATUREL REGIONAL
A3c;AFB - AGENCE FRANCAISE DE LA BIODIVERSITE
A3f;CONSERVATOIRE DU LITTORAL
A4a;SAFER - SOCIETE D AMENAGEMENT FONCIER ET D ETABLISSEMENT RURAL
A5a;ASSOCIATION FONCIERE DE REMEMBREMENT
E1a;UNIVERSITE ET ENSEIGNEMENT SUPERIEUR
E2a;IGN - INSTITUT GEOGRAPHIQUE NATIONAL
E2e;BRGM - BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES
E2f;CNRS - CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
E2g;METEO FRANCE
E2j;CEREMA - CENTRE D ETUDES ET D EXPERTISE SUR LES RISQUES L ENVIRONNEMENT LA MOBILITE ET L AMENAGEMENT
E3a;ENSEIGNEMENT PRIMAIRE ET SECONDAIRE
E3e;ENSEIGNEMENT AGRICOLE
F1a;ORGANISME DE LOGEMENT SOCIAL
F2a;EPF - ETABLISSEMENT PUBLIC FONCIER D ETAT
F4a;SEM - SOCIETE D ECONOMIE MIXTE
F5a;AMENAGEUR FONCIER
F5b;EPA - ETABLISSEMENT PUBLIC D AMENAGEMENT
F6a;PROMOTEUR IMMOBILIER
F6b;CONSTRUCTEUR
F6c;SOCIETE CIVILE DE CONSTRUCTION VENTE
F7b;INVESTISSEUR PRIVE
F7c;BANQUE PUBLIQUE
F7d;BANQUE PRIVEE - CREDIT BAIL
F7e;ASSURANCE OU MUTUELLE
F7f;SOCIETE CIVILE DE PLACEMENT IMMOBILIER
F7g;CAISSE DES DEPOTS ET CONSIGNATIONS
G1a;SCI - SOCIETE CIVILE IMMOBILIERE
G1b;SOCIETE CIVILE A VOCATION DE CONSTRUCTION
G1c;SOCIETE CIVILE A VOCATION D INVESTISSEMENT
G1d;SOCIETE CIVILE AUTRE
G2a;COPROPRIETE
G2b;BND - PROPRIETAIRE EN BIENS NON DELIMITES
G2c;COPROPRIETE AUTRE
G2d;COPROPRIETE DE FAIT
L1a;CAMPING
L1b;HOTEL
L1d;ACTIVITE DE TOURISME AUTRE
L2a;STRUCTURE LIEE AUX CULTES
L3a;ETABLISSEMENT PUBLIC CULTUREL
L3b;STRUCTURE CULTURELLE AUTRE
L4a;ASSOCIATION SPORTIVE
M1a;PERSONNE MORALE AUTRE
M2a;PERSONNE MORALE PUBLIQUE AUTRE
P1a;ETAT ETRANGER
P1b;ETAT FRANCAIS
P2a;REGION
P3a;DEPARTEMENT
P4a;INTERCOMMUNALITE
P4b;SYNDICAT INTERCOMMUNAL A VOCATION MULTIPLE
P4c;SYNDICAT MIXTE
P4d;SYNDICAT INTERCOMMUNAL AUTRE
P5a;COMMUNE
R0a;PROPRIETAIRE DE RESEAU AUTRE
R1a;CONCESSIONNAIRE AUTOROUTIER
R2a;SNCF - SOCIETE NATIONALE DES CHEMINS DE FER FRANCAIS
R2c;RESEAU FERRE AUTRE
R3a;STRUCTURE AERIENNE
R4a;SYNDICAT DE CANAL
R4b;GRAND PORT MARITIME - PORT AUTONOME
R4c;VNF - VOIES NAVIGABLES DE FRANCE
R4d;STRUCTURE FLUVIALE OU MARITIME AUTRE
R5a;EDF - GDF
R5b;GESTIONNAIRE DE RESEAU ELECTRIQUE OU GAZ AUTRE
R6a;GESTIONNAIRE DE RESEAU D EAU OU D ASSAINISSEMENT
R7a;RESEAU DE TELECOMMUNICATION
S1a;ETABLISSEMENT HOSPITALIER
S1b;MAISON DE RETRAITE
S1d;ASSURANCE MALADIE
S1e;ETABLISSEMENT DE SANTE AUTRE
S2b;CENTRE COMMUNAL D ACTION SOCIALE
S2c;ALLOCATIONS FAMILIALES
S2d;CROUS
S2e;STRUCTURE SOCIALE AUTRE
S2g;POLE EMPLOI
X1a;PERSONNE PHYSIQUE
Z1a;ETABLISSEMENT INDUSTRIEL
Z2a;GRANDE DISTRIBUTION
Z2b;COMMERCE DE GROS
Z2c;COMMERCE DE DETAIL
Z3a;CHARBONNAGES DE FRANCE
Z3b;CARRIERE
Z3c;ACTIVITE EXTRACTIVE AUTRE
Z4a;CCI - CHAMBRE DE COMMERCE ET D INDUSTRIE
Z4b;CHAMBRE DES METIERS ET DE L ARTISANAT
